"DD Field","Source Field","Field Description","Selected","Resource"
"ParkingTotal","ParkingSpacesTotal","The total number of parking spaces included in the sale.","Yes","Property"
"PastureArea","AcresPasture","Measurement or percentage of the property that has been allocated as pasture or grazing area.","Yes","Property"
"PatioAndPorchFeatures","","A list of features or description of the patio or porch included in the sale/lease.","No","Property"
"PendingTimestamp","PendingDate","The transactional timestamp automatically recorded by the MLS system representing the most recent date/time the listing's status was set to Pending.","Yes","Property"
"PestControlExpense","","The annual expense that is not paid directly by the tenant and is included in the Operating Expense calculations.","No","Property"
"PetsAllowed","PetsPermitted","Are pets allowed at the property being leased?  A list of yes, no and more detailed restrictions/allowances.","Yes","Property"
"PhotosChangeTimestamp","PhotoModificationTimestamp","System generated timestamp of when the last update or change to the photos for this listing was made.","Yes","Property"
"PhotosCount","PhotoCount","The total number of pictures or photos included with the listing.","Yes","Property"
"PoolExpense","","The annual expense that is not paid directly by the tenant and is included in the Operating Expense calculations.","No","Property"
"PoolFeatures","PoolType","A list of features or description of the pool included in the sale/lease.","Yes","Property"
"PoolPrivateYN","","The property has a privately owned pool that is included in the sale/lease.","No","Property"
"Possession","PossessionType","A list defining when possession will occur.  i.e. COE, COE+1, etc.","Yes","Property"
"PossibleUse","","A list of the type(s) of possible or best uses of the property.  Probable use gives a good indication of what the best use or potential use of the property could be.i.e. Primary, Vacation, Investment, Rental, Retirement","No","Property"
"PostalCity","","The official city per the USPS.  May be different from the ""City"".","No","Property"
"PostalCode","PostalCode","The postal code portion of a street or mailing address.","Yes","Property"
"PostalCodePlus4","PostalCodePlus4","The postal code +4 portion of a street or mailing address.","Yes","Property"
"PowerProductionType","","This field is a list of the types of power production system(s) available on the property. The key characteristics of the system are expected to appear as the ""[type]"" in the related power production fields in a flattened implementation (RETS 1.x only) of the power production fields.  A relational implementation of power production must omit the type from the field name and use PowerProductionType to create a vertical representation of the various types of power production available.  **Note that PV Solar is the only type of power production currently justified in multiple markets and thus shown. Up and coming renewables that could be added in the future depending on uptake: Wind, Geothermal, Thin Film Solar.","No","Property"
"PreviousListPrice","LastListPrice","The most recent previous ListPrice of the listing.","No","Property"
"PriceChangeTimestamp","PriceChangeTimestamp","The transactional timestamp automatically recorded by the MLS system representing the date/time the listing's price was last changed.","Yes","Property"
"PrivateOfficeRemarks","","A remarks field that is only visible to members of the same offices as the listing agent.","No","Property"
"PrivateRemarks","RemarksForBrokerages","Remarks that may contain security or proprietary information and should be restricted from public view.","No","Property"
"ProfessionalManagementExpense","ManagementExpense","The annual expense that is not paid directly by the tenant and is included in the Operating Expense calculations.  This is for a management company.  Use ManagerExpense for a individual manager.","Yes","Property"
"PropertyAttachedYN","PropertyType, Style, Type","A flag indicating that the primary structure is attached to another structure that is not included in the sale.  i.e. one unit of a duplex. This flag may be T/F, Y/N or a list of attached or detached. As with all flags, the field may be null.  In some systems this information may be part of the Property Sub Type.","Yes","Property"
"PropertyCondition","","A list describing the condition of the property and any structures included in the sale.","No","Property"
"PropertySubType","PropertySubType, Type","A list of types of residential and residential lease properties, i.e. SFR, Condo, etc. Or a list of Sub Types for Mobile, such as Expando, Manufactured, Modular, etc.","Yes","Property"
"PropertyType","PropertyType","A list of types of properties such as Residential, Lease, Income, Land, Mobile, Commercial Sale, etc...","Yes","Property"
"PropertyUniversalID",,"The PropertyUniversalID is a unique identifier for all properties in the US and Canada based on country and local identification methods with additional handling for special or more granular cases.","No","Property"
"PublicRemarks","RemarksForClients","Text remarks that may be displayed to the public. In an MLS, it is the field where information is entered for the public. This information is intended to be visible on-line. This is typically information that describes the selling points of the building and/or land for sale. Local conditions and rules will determine what such content can contain. Generally, the following information is excluded: any information pertaining to entry to the property, the seller and/or tenant, listing member contact information. In other systems, these remarks will be determined by local business rules.","Yes","Property"
